NaturezaElemento - Código;AnoExercício NaturezaElemento;Situação NaturezaElemento;NaturezaElemento - Formatado;CategoriaEconômica - Código;AnoExercício CategoriaEconômica;Situação CategoriaEconômica;CategoriaEconômica - Descrição;CategoriaEconômica - Detalhe;GrupoDespesa - Código;AnoExercício GrupoDespesa;Situação GrupoDespesa;GrupoDespesa - Descrição;GrupoDespesa - Código-Descrição;GrupoDespesa - Detalhe;Modalidade - Código;AnoExercício Modalidade;Situação Modalidade;Modalidade - Descrição;Modalidade - Detalhe;ElementoDespesa - Código;AnoExercício ElementoDespesa;Situação ElementoDespesa;ElementoDespesa - Descrição;ElementoDespesa - Código-Descrição;ElementoDespesa - Detalhe;ElementoDespesa - Característica;ElementoDespesa - Regionalização;ElementoDespesa Executável S/N;ElementoItem - Código;AnoExercício ElementoItem;Situação ElementoItem;ElementoItem - Descrição;ElementoItem - Código-Descrição;NaturezaItem - Código;AnoExercício NaturezaItem;Situação NaturezaItem;NaturezaItem - Formatado
3390015;2020;BLOQUEADO;3.3.90.015;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;15;2020;ATIVO;DIÁRIAS - MILITAR;015 - DIÁRIAS - MILITAR;DESBLOQUEIO. ; ;NÃO;SIM;15001;2020;ATIVO;DIÁRIAS - MILITAR;015001 - DIÁRIAS - MILITAR;3190008005;#MULTIVALUE;ATIVO;3.1.90.008.005
3390019;2020;ATIVO;3.3.90.019;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;19;2020;ATIVO;AUXÍLIO-FARDAMENTO;019 - AUXÍLIO-FARDAMENTO;EMPENHO; ;NÃO;SIM;19001;2020;ATIVO;AUXÍLIO-FARDAMENTO;019001 - AUXÍLIO-FARDAMENTO;3190008007;#MULTIVALUE;ATIVO;3.1.90.008.007
3390030;2020;ATIVO;3.3.90.030;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;30;2020;ATIVO;MATERIAL DE CONSUMO;030 - MATERIAL DE CONSUMO;"ATUALIZAÇÃO DO PARÂMETRO ""PERMITE REGIONALIZAÇÃO""."; ;NÃO;SIM;30026;2020;ATIVO;COMBUSTÍVEIS E LUBRIFICANTES PARA VEÍCULOS AUTOMOTORES;030026 - COMBUSTÍVEIS E LUBRIFICANTES PARA VEÍCULOS AUTOMOTORES;3190008008;#MULTIVALUE;ATIVO;3.1.90.008.008
3390031;2020;ATIVO;3.3.90.031;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;31;2020;ATIVO;PREMIAÇÕES CULTURAIS, ARTÍSTICAS, CIENTÍFICAS, DESPORTIVAS E OUTRAS.;031 - PREMIAÇÕES CULTURAIS, ARTÍSTICAS, CIENTÍFICAS, DESPORTIVAS E OUTRAS.;EMPENHO; ;NÃO;SIM;31002;2020;ATIVO;PRÊMIOS LOTÉRICOS;031002 - PRÊMIOS LOTÉRICOS;3190008009;#MULTIVALUE;ATIVO;3.1.90.008.009
3390033;2020;ATIVO;3.3.90.033;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;33;2020;ATIVO;PASSAGENS E DESPESAS COM LOCOMOÇÃO;033 - PASSAGENS E DESPESAS COM LOCOMOÇÃO;CARGA; ;NÃO;SIM;33004;2020;ATIVO;PASSAGENS - PESSOA JURÍDICA;033004 - PASSAGENS - PESSOA JURÍDICA;3190008010;#MULTIVALUE;ATIVO;3.1.90.008.010
3390036;2019;ATIVO;3.3.90.036;3;2019;ATIVO;DESPESAS CORRENTES;DESPESAS CORRENTES;3;2019;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;DESLOQUEIO DA CATEGORIA ECONÔMICA;90;2019;ATIVO;APLICAÇÕES DIRETAS;N/A;36;2019;ATIVO;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;036 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;CARGA; ;NÃO;SIM;36004;2019;ATIVO;DIÁRIAS A COLABORADORES EVENTUAIS;036004 - DIÁRIAS A COLABORADORES EVENTUAIS;3190008011;#MULTIVALUE;ATIVO;3.1.90.008.011
3390036;2019;ATIVO;3.3.90.036;3;2019;ATIVO;DESPESAS CORRENTES;DESPESAS CORRENTES;3;2019;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;DESLOQUEIO DA CATEGORIA ECONÔMICA;90;2019;ATIVO;APLICAÇÕES DIRETAS;N/A;36;2019;ATIVO;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;036 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;CARGA; ;NÃO;SIM;36012;2019;ATIVO;DESPESAS MIÚDAS DE PRONTO PAGAMENTO;036012 - DESPESAS MIÚDAS DE PRONTO PAGAMENTO;3190008012;#MULTIVALUE;ATIVO;3.1.90.008.012
3390036;2020;ATIVO;3.3.90.036;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;36;2020;ATIVO;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;036 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;CARGA; ;NÃO;SIM;36001;2020;ATIVO;ESTAGIÁRIOS;036001 - ESTAGIÁRIOS;3190008099;#MULTIVALUE;ATIVO;3.1.90.008.099
3390036;2020;ATIVO;3.3.90.036;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;2020;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;36;2020;ATIVO;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;036 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;CARGA; ;NÃO;SIM;36012;2020;ATIVO;DESPESAS MIÚDAS DE PRONTO PAGAMENTO;036012 - DESPESAS MIÚDAS DE PRONTO PAGAMENTO;3190011001;#MULTIVALUE;ATIVO;3.1.90.011.001
3390036;#MULTIVALUE;ATIVO;3.3.90.036;3;#MULTIVALUE;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;3;#MULTIVALUE;ATIVO;OUTRAS DESPESAS CORRENTES;3 - OUTRAS DESPESAS CORRENTES;"ADEQUAÇÃO DO PARAMETRO ""PERMITE REGIONALIZAÇÃO"".";90;#MULTIVALUE;ATIVO;APLICAÇÕES DIRETAS;N/A;36;#MULTIVALUE;ATIVO;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;036 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;CARGA; ;NÃO;SIM;36004;#MULTIVALUE;ATIVO;DIÁRIAS A COLABORADORES EVENTUAIS;036004 - DIÁRIAS A COLABORADORES EVENTUAIS;3190011002;#MULTIVALUE;ATIVO;3.1.90.011.002
